"ano","mes","tku"
2012,1,7914998664
2012,2,6795477239
2012,3,6674051430
2012,4,8298986461
2012,5,8464270814
2012,6,8774537179
2012,7,8854480823
2012,8,9603984838
2012,9,9312419695
2012,10,9147651661
2012,11,8952214099
2012,12,9364287204
2013,1,8540444662
2013,2,6966234971
2013,3,7503180362
2013,4,6444932441
2013,5,7128632023
2013,6,8465577382
2013,7,7882054848
2013,8,10011701984
2013,9,9624249987
2013,10,8783978471
2013,11,9396970840
2013,12,10262542179
2014,1,9118866278
2014,2,6877383536
2014,3,8151425605
2014,4,7665794255
2014,5,9167565202
2014,6,8099703416
2014,7,8005643192
2014,8,8686662205
2014,9,7628456517
2014,10,10055091305
2014,11,9931517439
2014,12,10789157756
2015,1,9573833058
2015,2,7665561506
2015,3,8780284875
2015,4,8919777434
2015,5,9539665906
2015,6,10518519979
2015,7,10391397413
2015,8,9030533456
2015,9,10076891425
2015,10,11001091970
2015,11,10602120288
2015,12,12483922882
2016,1,11001073584
2016,2,10493144611
2016,3,11017211869
2016,4,10572357067
2016,5,10850867357
2016,6,10085296005
2016,7,11734701018
2016,8,11852840593
2016,9,12180311771
2016,10,11627448265
2016,11,12072588208
2016,12,12780373287
2017,1,12356748720
2017,2,10433946651
2017,3,11445727790
2017,4,11060023995
2017,5,12447038412
2017,6,13138963025
2017,7,13285087525
2017,8,13005603517
2017,9,13421340696
2017,10,14776234983
2017,11,14203584717
2017,12,15963235742
2018,1,14173710961
2018,2,10607273345
2018,3,13978827639
2018,4,13126167968
2018,5,15320188152
2018,6,16152195061
2018,7,16379906028
2018,8,17629241640
2018,9,16097348269
2018,10,17387433164
2018,11,16518606142
2018,12,17004744508
2019,1,14262265894
2019,2,12707568359
2019,3,9612526266
2019,4,7615183070
2019,5,15061665130
2019,6,16486014910
2019,7,17168713714
2019,8,17652216241
2019,9,16591150588
2019,10,15976886665
2019,11,15873780514
2019,12,15477984381
2020,1,13242179620
2020,2,13250735189
2020,3,9716691007
2020,4,12184173381
2020,5,11884887840
2020,6,16020667059
2020,7,15322770174
2020,8,18080139272
2020,9,18096775121
2020,10,18109685466
2020,11,15253090466
2020,12,16215015770
2021,1,15132810377
2021,2,12069680830
2021,3,11954672634
2021,4,12078045547
2021,5,13499724278
2021,6,13876869409
2021,7,14377132264
2021,8,16965598744
2021,9,16741613906
2021,10,15163626124
2021,11,15917741414
2021,12,14307458181
2022,1,13389935004
2022,2,11479825356
2022,3,10683500896
2022,4,10868270948
2022,5,10546316966
2022,6,13525639117
2022,7,14889197677
2022,8,15467981156
2022,9,14428291032
2022,10,14667162081
2022,11,13154154268
2022,12,14101031728
2023,1,11184482235
2023,2,9828304445
2023,3,10488702082
2023,4,9825836139
2023,5,12408997332
2023,6,14081549417
2023,7,14320869554
2023,8,15278667771
2023,9,15369699560
2023,10,14306954146
2023,11,13798709780
2023,12,16670750076
2024,1,12556436869
2024,2,10061085284
2024,3,11289396980
2024,4,9404979061
2024,5,11933147055
2024,6,13750600396
2024,7,15063926772
2024,8,16765595244
2024,9,14936759352
2024,10,16147480829
2024,11,15940692140
2024,12,15850964170
2025,1,11308031186
2025,2,10133297633
2025,3,11264485390
2025,4,11713516836
2025,5,13701555644
2025,6,13702373700
2025,7,14959366591
2025,8,16453134191
2025,9,14134479696
2025,10,16087948154
2025,11,13808464087
2025,12,13895786813
