"ano","mes","tku"
2012,1,4681553235
2012,2,5931539432
2012,3,5915938999
2012,4,6078685948
2012,5,6148373529
2012,6,5997824749
2012,7,6171463327
2012,8,6260173427
2012,9,6392780813
2012,10,6650330537
2012,11,6095393900
2012,12,6542022748
2013,1,5787164198
2013,2,5246876240
2013,3,5526418006
2013,4,6053798563
2013,5,6204778061
2013,6,6041025811
2013,7,6519785513
2013,8,6466529721
2013,9,6577393894
2013,10,6726368419
2013,11,6356667395
2013,12,4502358567
2014,1,6011811732
2014,2,4971370978
2014,3,5873846238
2014,4,5525973010
2014,5,6352911745
2014,6,6254476691
2014,7,6248852986
2014,8,6211468642
2014,9,6422959876
2014,10,6587743935
2014,11,5769951130
2014,12,6438227824
2015,1,6248465512
2015,2,5518985177
2015,3,5930022890
2015,4,5892442375
2015,5,6751859787
2015,6,6401926885
2015,7,7033676466
2015,8,6791639256
2015,9,6808242017
2015,10,6955696696
2015,11,5939289332
2015,12,6884673983
2016,1,5310281920
2016,2,5469294656
2016,3,5454508058
2016,4,6067105891
2016,5,6510677406
2016,6,6035816156
2016,7,6835470752
2016,8,6876272396
2016,9,6513089447
2016,10,6894453466
2016,11,6119663733
2016,12,6472205669
2017,1,6386484173
2017,2,5751163479
2017,3,6277691053
2017,4,5361092404
2017,5,6335225763
2017,6,6515141306
2017,7,6314616136
2017,8,6010715203
2017,9,6164839164
2017,10,6487507139
2017,11,6119775469
2017,12,5793600225
2018,1,5944148266
2018,2,5019644204
2018,3,4598064098
2018,4,5398691105
2018,5,6153700316
2018,6,5978503123
2018,7,6103527286
2018,8,6409338907
2018,9,5949222627
2018,10,5861228646
2018,11,5842191984
2018,12,6493619086
2019,1,5850198466
2019,2,4059048133
2019,3,4063961081
2019,4,3479300165
2019,5,3709945420
2019,6,4094803807
2019,7,4069938418
2019,8,4584148234
2019,9,4693728488
2019,10,4714754076
2019,11,4174282021
2019,12,3611543496
2020,1,2925344385
2020,2,2885288664
2020,3,2848645216
2020,4,2991019664
2020,5,3167853719
2020,6,3095795490
2020,7,3762698373
2020,8,3727544028
2020,9,3793369174
2020,10,3241988250
2020,11,3220095178
2020,12,3510553578
2021,1,3602179617
2021,2,2809162175
2021,3,3153323894
2021,4,3326644801
2021,5,4405744932
2021,6,4098907562
2021,7,4203995547
2021,8,4291902311
2021,9,4021560801
2021,10,3589020575
2021,11,4040439557
2021,12,4543011553
2022,1,3474440728
2022,2,2877298291
2022,3,3612819648
2022,4,4036868491
2022,5,4449660474
2022,6,4238252353
2022,7,4193155922
2022,8,4036768251
2022,9,4445102221
2022,10,4157849430
2022,11,3740069103
2022,12,3507418041
2023,1,3678852681
2023,2,3623224311
2023,3,4137358173
2023,4,4084997836
2023,5,4796238147
2023,6,4590002226
2023,7,4500388710
2023,8,4044872569
2023,9,4103888343
2023,10,4305879145
2023,11,4605266994
2023,12,4705364446
2024,1,4015624804
2024,2,3920204635
2024,3,3875984072
2024,4,4103983105
2024,5,4157565766
2024,6,4301777115
2024,7,4615194946
2024,8,4917714341
2024,9,4421056608
2024,10,4439216613
2024,11,4262615063
2024,12,4380949730
2025,1,3684773419
2025,2,3251842118
2025,3,4204832672
2025,4,4086598793
2025,5,4796404962
2025,6,4737707735
2025,7,4922572946
2025,8,5468172616
2025,9,5256754947
2025,10,5407392208
2025,11,5334422346
2025,12,5483127954
