"ano","mes","tku"
2012,1,876851775
2012,2,1176591967
2012,3,1201326029
2012,4,1337408172
2012,5,1443542875
2012,6,1402536290
2012,7,1528836651
2012,8,1589313764
2012,9,1452304021
2012,10,1503656936
2012,11,1262912299
2012,12,1337662008
2013,1,1223145418
2013,2,1255871690
2013,3,1590860074
2013,4,1604193227
2013,5,1589128297
2013,6,1561094509
2013,7,1689100789
2013,8,1686867850
2013,9,1564180444
2013,10,1634982289
2013,11,1535862934
2013,12,1427428486
2014,1,1136894532
2014,2,1107485029
2014,3,1368255173
2014,4,1628143371
2014,5,1795421835
2014,6,1667418649
2014,7,1698861157
2014,8,1344364068
2014,9,1556824734
2014,10,1618828068
2014,11,1712435276
2014,12,1663941162
2015,1,1149986066
2015,2,1365379186
2015,3,1801150803
2015,4,1748508439
2015,5,1739584629
2015,6,1829374925
2015,7,1931364856
2015,8,2040330322
2015,9,1982282081
2015,10,1903054877
2015,11,1761272775
2015,12,1868939639
2016,1,1286635201
2016,2,1530755989
2016,3,1792217229
2016,4,1928556931
2016,5,1959361607
2016,6,1699095606
2016,7,1674212563
2016,8,1868433047
2016,9,1599978638
2016,10,1311120706
2016,11,1354837462
2016,12,1039923430
2017,1,1013989382
2017,2,1474994114
2017,3,2027410292
2017,4,2052218090
2017,5,2116225887
2017,6,2357267067
2017,7,2426720019
2017,8,2313418129
2017,9,2897447265
2017,10,2210310211
2017,11,1879907436
2017,12,1660009889
2018,1,1111587349
2018,2,1410038341
2018,3,2150135722
2018,4,2206733339
2018,5,1898876323
2018,6,1998120104
2018,7,2097089201
2018,8,2768882191
2018,9,3186102844
2018,10,1948454794
2018,11,1806893165
2018,12,1945069524
2019,1,1029935623
2019,2,3178242328
2019,3,1941334125
2019,4,1845418300
2019,5,2294093077
2019,6,1803205776
2019,7,1727125186
2019,8,2016876223
2019,9,1914581962
2019,10,1945141316
2019,11,1693904364
2019,12,1579890977
2020,1,954491426
2020,2,1481398441
2020,3,1902887749
2020,4,2332679643
2020,5,2324227246
2020,6,2270613008
2020,7,2418277799
2020,8,2299103298
2020,9,2449649030
2020,10,2130148956
2020,11,1749241277
2020,12,1199572740
2021,1,812253030
2021,2,1553023778
2021,3,2286067520
2021,4,2217306196
2021,5,2201824493
2021,6,2004959225
2021,7,1932397870
2021,8,2190604426
2021,9,1558091852
2021,10,1335038137
2021,11,1346833938
2021,12,1447591538
2022,1,776514020
2022,2,1283432945
2022,3,1935069849
2022,4,2041071933
2022,5,2023314793
2022,6,1950985694
2022,7,2191974422
2022,8,2154461622
2022,9,2004612057
2022,10,1847379684
2022,11,1610713913
2022,12,1351113979
2023,1,1118012146
2023,2,1621747137
2023,3,2159628669
2023,4,2115418121
2023,5,2155828404
2023,6,2113312701
2023,7,2154969801
2023,8,2150184067
2023,9,2160712033
2023,10,2025598094
2023,11,1720669044
2023,12,1811315604
2024,1,1314258044
2024,2,1675762037
2024,3,1995165365
2024,4,2002870123
2024,5,2242931029
2024,6,1953914072
2024,7,2148355095
2024,8,2035247101
2024,9,1585718524
2024,10,1719391967
2024,11,1578705266
2024,12,1231926067
2025,1,817630287
2025,2,1228794125
2025,3,1758925023
2025,4,1611939603
2025,5,1849705745
2025,6,1741063620
2025,7,1787498212
2025,8,2195317667
2025,9,1609331466
2025,10,1685604566
2025,11,1538872860
2025,12,1533355060
