"ano","mes","tku"
2012,1,41162072
2012,2,21029806
2012,3,16510657
2012,4,14561375
2012,5,9281307
2012,6,8712512
2012,7,12885714
2012,8,5543435
2012,9,10755983
2012,10,19748032
2012,11,11609824
2012,12,17827693
2013,1,17539999
2013,2,18705514
2013,3,16461825
2013,4,9240450
2013,5,6341343
2013,6,1251220
2013,7,2637056
2013,8,3904282
2013,9,5504940
2013,10,8007158
2013,11,4632646
2013,12,4123383
2014,1,11854273
2014,2,12399485
2014,3,10990432
2014,4,24126450
2014,5,18205288
2014,6,8295438
2014,7,20893195
2014,8,17277129
2014,9,9950018
2014,10,9129822
2014,11,5855841
2014,12,2568889
2015,1,23439147
2015,2,18187588
2015,3,21238237
2015,4,11976058
2015,5,9403984
2015,6,7590631
2015,7,8855676
2015,8,8253938
2015,9,7769584
2015,10,9545956
2015,11,3989397
2015,12,3167634
2016,1,11640170
2016,2,15447924
2016,3,19948718
2016,4,15192946
2016,5,10483742
2016,6,13008267
2016,7,14288146
2016,8,9707704
2016,9,5515303
2016,10,3187076
2016,11,5571545
2016,12,7678739
2017,1,14207518
2017,2,31195748
2017,3,16587158
2017,4,11982964
2017,5,9771214
2017,6,6849028
2017,7,6700618
2017,8,3166268
2017,9,4857550
2017,10,10586466
2017,11,21958579
2017,12,21498102
2018,1,37796265
2018,2,30254334
2018,3,20555060
2018,4,10103430
2018,5,7366898
2018,6,4983744
2018,7,8723360
2018,8,4814123
2018,9,1506622
2018,10,30257262
2018,11,28187653
2018,12,16926140
2019,1,37955978
2019,2,25188293
2019,3,22929866
2019,4,33665519
2019,5,29053226
2019,6,15339977
2019,7,19067464
2019,8,26489453
2019,9,18135492
2019,10,34363723
2019,11,48386798
2019,12,50257763
2020,1,21625593
2020,2,54252047
2020,3,11947131
2020,4,10383967
2020,5,8686308
2020,6,7968123
2020,7,4107248
2020,8,0
2020,9,0
2020,10,0
2020,11,0
2020,12,0
2021,1,387603
2021,2,2520985
2021,3,12464175
2021,4,9389814
2021,5,10036303
2021,6,10367365
2021,7,5605932
2021,8,2901128
2021,9,3697028
2021,10,4747719
2021,11,2437978
2021,12,178282
2022,1,1818919
2022,2,5846286
2022,3,8931475
2022,4,6739868
2022,5,5406234
2022,6,3627735
2022,7,2327783
2022,8,2985338
2022,9,943144
2022,10,1670231
2022,11,1602622
2022,12,644802
2023,1,1556426
2023,2,7920721
2023,3,11670441
2023,4,7383467
2023,5,7130840
2023,6,6839237
2023,7,3599343
2023,8,4159697
2023,9,2428113
2023,10,6713644
2023,11,5173096
2023,12,5796967
2024,1,3024075
2024,2,7282659
2024,3,7381544
2024,4,7903403
2024,5,7527107
2024,6,6858966
2024,7,6217532
2024,8,4416174
2024,9,6702094
2024,10,6749492
2024,11,3414324
2024,12,1546322
2025,1,5022001
2025,2,4974362
2025,3,5201725
2025,4,6382823
2025,5,4504233
2025,6,5457001
2025,7,5434626
2025,8,4168360
2025,9,6170135
2025,10,5501993
2025,11,5908603
2025,12,3925353
