"ano","mes","tku"
2012,1,54490647
2012,2,332349009
2012,3,194026135
2012,4,240980213
2012,5,228550869
2012,6,215356275
2012,7,262644073
2012,8,291617565
2012,9,210627403
2012,10,189087237
2012,11,172971441
2012,12,118985061
2013,1,17241848
2013,2,96187193
2013,3,268959366
2013,4,280606462
2013,5,263461900
2013,6,258820572
2013,7,273348333
2013,8,301453245
2013,9,295120434
2013,10,174825909
2013,11,119312130
2013,12,108067768
2014,1,26340127
2014,2,163738031
2014,3,330507760
2014,4,359014600
2014,5,314943160
2014,6,323969691
2014,7,368146221
2014,8,351252090
2014,9,296400388
2014,10,341662537
2014,11,332197581
2014,12,299312150
2015,1,114048938
2015,2,207131845
2015,3,447611882
2015,4,493166126
2015,5,548426872
2015,6,494745713
2015,7,447642197
2015,8,408412455
2015,9,451367338
2015,10,461123999
2015,11,428792013
2015,12,292718766
2016,1,188697572
2016,2,293547064
2016,3,699707639
2016,4,645650067
2016,5,679406713
2016,6,529944612
2016,7,470423636
2016,8,275824332
2016,9,199730779
2016,10,171737877
2016,11,141206178
2016,12,158433596
2017,1,169017923
2017,2,389516178
2017,3,885761648
2017,4,853859957
2017,5,872652882
2017,6,737280388
2017,7,732323886
2017,8,770443426
2017,9,607170994
2017,10,698391786
2017,11,386575651
2017,12,210342693
2018,1,165820877
2018,2,289019799
2018,3,1072094197
2018,4,1049947819
2018,5,815652202
2018,6,739574118
2018,7,795408648
2018,8,719111317
2018,9,923184379
2018,10,629036864
2018,11,631864060
2018,12,445246661
2019,1,204205573
2019,2,702961297
2019,3,1010282816
2019,4,847880063
2019,5,859208198
2019,6,876163171
2019,7,801726661
2019,8,1060875965
2019,9,908903847
2019,10,702176796
2019,11,615692608
2019,12,273443057
2020,1,118117551
2020,2,583341284
2020,3,911052426
2020,4,1029621166
2020,5,1066191616
2020,6,1081587267
2020,7,1073649050
2020,8,1028088021
2020,9,942537600
2020,10,837777933
2020,11,641593993
2020,12,256715074
2021,1,176238900
2021,2,863518689
2021,3,1196151469
2021,4,1319475374
2021,5,1194768194
2021,6,1125772024
2021,7,1080348234
2021,8,1007414167
2021,9,964084481
2021,10,706311683
2021,11,602740395
2021,12,372524970
2022,1,279266438
2022,2,1139469663
2022,3,1111056809
2022,4,1370532115
2022,5,1329752577
2022,6,1204802602
2022,7,1245468258
2022,8,1251290689
2022,9,1222445589
2022,10,1186634218
2022,11,727980815
2022,12,626827104
2023,1,422520473
2023,2,908104899
2023,3,1331176947
2023,4,1334275822
2023,5,1347872877
2023,6,1259736753
2023,7,1329623919
2023,8,1331503962
2023,9,1299312343
2023,10,1208641328
2023,11,917019599
2023,12,619196378
2024,1,273171228
2024,2,965618307
2024,3,1441612771
2024,4,1246801661
2024,5,1422981648
2024,6,1225323077
2024,7,1314152026
2024,8,1262599304
2024,9,1262862435
2024,10,1215348411
2024,11,1037152127
2024,12,579760619
2025,1,149375230
2025,2,965618307
2025,3,1442040110
2025,4,1402572982
2025,5,1251304592
2025,6,1404783742
2025,7,1245189390
2025,8,1411882238
2025,9,1453902337
2025,10,1410983118
2025,11,946356752
2025,12,639635245
