"ano","mes","tku"
2012,1,16786995
2012,2,14217014
2012,3,17903973
2012,4,15037120
2012,5,16756836
2012,6,16261565
2012,7,15887399
2012,8,16499241
2012,9,14100487
2012,10,15749777
2012,11,16118210
2012,12,15032157
2013,1,18232918
2013,2,17614216
2013,3,17235423
2013,4,19436804
2013,5,18450940
2013,6,18280230
2013,7,20799700
2013,8,21759804
2013,9,20361577
2013,10,24481676
2013,11,22647890
2013,12,19518355
2014,1,20677829
2014,2,20816128
2014,3,21767052
2014,4,23847346
2014,5,25962105
2014,6,23536873
2014,7,24191780
2014,8,26305982
2014,9,26203691
2014,10,26738189
2014,11,25962305
2014,12,22124110
2015,1,20321572
2015,2,21962404
2015,3,20029388
2015,4,23113075
2015,5,23961111
2015,6,23339583
2015,7,23798435
2015,8,23200755
2015,9,23375705
2015,10,22271042
2015,11,23085656
2015,12,24660925
2016,1,20831919
2016,2,19388947
2016,3,19594231
2016,4,19104304
2016,5,18734556
2016,6,18488123
2016,7,19181634
2016,8,18592068
2016,9,17698800
2016,10,18389845
2016,11,18504101
2016,12,15251265
2017,1,17721482
2017,2,17308370
2017,3,18677122
2017,4,14885783
2017,5,16656290
2017,6,17695166
2017,7,17282702
2017,8,17974490
2017,9,17489738
2017,10,17510420
2017,11,17899155
2017,12,14585254
2018,1,16937508
2018,2,17219690
2018,3,18195560
2018,4,18525269
2018,5,12889282
2018,6,20854983
2018,7,18414503
2018,8,20657775
2018,9,20340833
2018,10,20809232
2018,11,19329400
2018,12,15968991
2019,1,18486345
2019,2,18925066
2019,3,19021775
2019,4,20239647
2019,5,19596448
2019,6,19156782
2019,7,19648853
2019,8,16672235
2019,9,20240526
2019,10,22241754
2019,11,20149664
2019,12,19093238
2020,1,18600989
2020,2,18962741
2020,3,21153128
2020,4,22037285
2020,5,20849343
2020,6,20700787
2020,7,19743496
2020,8,18934525
2020,9,19395111
2020,10,16747462
2020,11,18438333
2020,12,19992512
2021,1,17527520
2021,2,18918483
2021,3,22517016
2021,4,19950273
2021,5,21065308
2021,6,21525142
2021,7,22846210
2021,8,23989729
2021,9,22077260
2021,10,21347118
2021,11,21811273
2021,12,21972562
2022,1,20852466
2022,2,18213130
2022,3,25610786
2022,4,23250792
2022,5,23782513
2022,6,21606092
2022,7,22138872
2022,8,22281429
2022,9,23360623
2022,10,22388228
2022,11,23127654
2022,12,21163297
2023,1,18035509
2023,2,17445909
2023,3,21797118
2023,4,19527299
2023,5,21336221
2023,6,19503730
2023,7,21376649
2023,8,22338483
2023,9,21811964
2023,10,21608973
2023,11,21748687
2023,12,19097195
2024,1,19325287
2024,2,19688288
2024,3,20143226
2024,4,21304113
2024,5,20820769
2024,6,19241264
2024,7,22332753
2024,8,21157448
2024,9,19400328
2024,10,21068148
2024,11,20627453
2024,12,17376741
2025,1,17838977
2025,2,19314889
2025,3,20265903
2025,4,19009349
2025,5,21046123
2025,6,20732733
2025,7,22284161
2025,8,19328428
2025,9,19932435
2025,10,21640614
2025,11,20186881
2025,12,18662019
