"ano","mes","tku"
2012,1,56843887
2012,2,58495578
2012,3,62831080
2012,4,58824192
2012,5,75444968
2012,6,72009430
2012,7,56714390
2012,8,61800305
2012,9,52748130
2012,10,52605116
2012,11,46584269
2012,12,47663630
2013,1,45344211
2013,2,36614498
2013,3,46223507
2013,4,41505560
2013,5,40644067
2013,6,37972129
2013,7,49188660
2013,8,50126773
2013,9,49892461
2013,10,52494505
2013,11,40897588
2013,12,43621773
2014,1,43787231
2014,2,43870793
2014,3,41729331
2014,4,51475119
2014,5,50204417
2014,6,51949618
2014,7,56481877
2014,8,56918327
2014,9,55462095
2014,10,45683305
2014,11,56361431
2014,12,51683176
2015,1,42728080
2015,2,38024379
2015,3,44259356
2015,4,47195039
2015,5,52449455
2015,6,47554824
2015,7,48134079
2015,8,50162952
2015,9,54535678
2015,10,52009535
2015,11,43241618
2015,12,46496916
2016,1,54890243
2016,2,47582921
2016,3,57515352
2016,4,54453529
2016,5,54055122
2016,6,57618107
2016,7,55183064
2016,8,59074915
2016,9,48865897
2016,10,59193943
2016,11,56870734
2016,12,50776854
2017,1,52586730
2017,2,48046058
2017,3,51244840
2017,4,46713193
2017,5,56235655
2017,6,56744616
2017,7,63044951
2017,8,52521608
2017,9,53603254
2017,10,61028125
2017,11,56197274
2017,12,51469158
2018,1,55108294
2018,2,41880001
2018,3,50880742
2018,4,49749312
2018,5,48378111
2018,6,50876464
2018,7,58548620
2018,8,54441917
2018,9,48555718
2018,10,60266279
2018,11,46431478
2018,12,49410711
2019,1,48701149
2019,2,43441188
2019,3,41620469
2019,4,47623850
2019,5,54408985
2019,6,43035812
2019,7,54572003
2019,8,50200836
2019,9,47812059
2019,10,47644848
2019,11,49571942
2019,12,46090975
2020,1,55414134
2020,2,47153251
2020,3,43459375
2020,4,41786191
2020,5,38250896
2020,6,49543200
2020,7,60538337
2020,8,54125307
2020,9,57313103
2020,10,62962684
2020,11,61521155
2020,12,60211488
2021,1,58560502
2021,2,51948134
2021,3,57535391
2021,4,54146279
2021,5,61670931
2021,6,63684291
2021,7,62327826
2021,8,58322960
2021,9,56722919
2021,10,56609178
2021,11,56960952
2021,12,50668792
2022,1,52010709
2022,2,53337616
2022,3,44897883
2022,4,36453431
2022,5,47608172
2022,6,47994824
2022,7,50346815
2022,8,55766830
2022,9,54302020
2022,10,58769637
2022,11,53422086
2022,12,52584201
2023,1,50594048
2023,2,41233476
2023,3,46919369
2023,4,43303116
2023,5,48005192
2023,6,51437690
2023,7,52468374
2023,8,57675759
2023,9,54485395
2023,10,60253933
2023,11,54666834
2023,12,55063157
2024,1,51459171
2024,2,40067054
2024,3,48210690
2024,4,44664034
2024,5,45862624
2024,6,50834642
2024,7,50559976
2024,8,57020723
2024,9,54129227
2024,10,53118630
2024,11,49140449
2024,12,55859114
2025,1,48238769
2025,2,44427416
2025,3,47886515
2025,4,47195805
2025,5,47127137
2025,6,47815250
2025,7,50057496
2025,8,49885939
2025,9,50509948
2025,10,40773358
2025,11,40622501
2025,12,53911383
