"ano","mes","tku"
2012,1,4329581729
2012,2,5075691809
2012,3,5359251598
2012,4,5142773786
2012,5,5464299083
2012,6,5460940949
2012,7,5593049666
2012,8,5644110187
2012,9,4840570385
2012,10,5678003071
2012,11,4494604251
2012,12,5158622649
2013,1,3791603950
2013,2,3943095172
2013,3,4862307569
2013,4,4756236119
2013,5,5276301372
2013,6,5221787368
2013,7,5527738636
2013,8,5560885923
2013,9,5882606834
2013,10,5897412227
2013,11,5654691579
2013,12,5052742562
2014,1,4765057018
2014,2,4373789744
2014,3,5150240207
2014,4,4678752673
2014,5,5921861219
2014,6,5749528302
2014,7,5823690048
2014,8,5794756811
2014,9,5197081147
2014,10,5838415946
2014,11,5474218616
2014,12,5666142115
2015,1,5162441543
2015,2,4619303563
2015,3,5226699569
2015,4,5239053533
2015,5,5372606048
2015,6,5395112902
2015,7,5437888553
2015,8,5528242445
2015,9,5548445812
2015,10,6112025336
2015,11,5444332840
2015,12,5667989901
2016,1,4791134891
2016,2,4768092476
2016,3,5619374940
2016,4,5624700307
2016,5,5639103831
2016,6,5538948260
2016,7,6163079695
2016,8,5950895033
2016,9,5651891655
2016,10,5548628364
2016,11,5160187158
2016,12,5189634668
2017,1,4742671506
2017,2,5083811944
2017,3,5571068217
2017,4,5218944963
2017,5,5770384006
2017,6,5502192739
2017,7,5270437251
2017,8,5584542609
2017,9,5699094186
2017,10,5595785579
2017,11,5049878823
2017,12,4820205448
2018,1,4597732864
2018,2,4221440418
2018,3,5002053296
2018,4,4916243554
2018,5,5419223690
2018,6,5547056565
2018,7,5760906098
2018,8,5695479878
2018,9,5505360895
2018,10,5982793328
2018,11,5483371309
2018,12,5632939348
2019,1,5302956498
2019,2,4014490470
2019,3,3834479776
2019,4,3539013662
2019,5,4205192116
2019,6,4204885539
2019,7,4305881821
2019,8,4479774656
2019,9,3905691631
2019,10,3918682807
2019,11,3355671569
2019,12,3042715923
2020,1,2793913145
2020,2,2953299325
2020,3,3404478011
2020,4,3890964813
2020,5,4552680568
2020,6,4929019727
2020,7,4518081323
2020,8,5301721091
2020,9,5118340948
2020,10,5198300918
2020,11,5053250538
2020,12,4899656097
2021,1,4370127297
2021,2,4098512125
2021,3,4605397289
2021,4,4443618025
2021,5,5240867615
2021,6,5519756474
2021,7,5518369117
2021,8,5469430805
2021,9,5330707080
2021,10,4393567442
2021,11,3783345906
2021,12,4187305508
2022,1,3007034435
2022,2,3704085189
2022,3,4603611903
2022,4,4254564873
2022,5,5394084646
2022,6,5402669293
2022,7,5493336600
2022,8,5677718314
2022,9,5198542927
2022,10,5289508936
2022,11,5018601888
2022,12,5239666925
2023,1,3880380215
2023,2,4068683254
2023,3,4319610578
2023,4,4875049074
2023,5,6238639533
2023,6,6150982154
2023,7,6432961229
2023,8,5814419003
2023,9,6416270141
2023,10,6470952823
2023,11,5958304270
2023,12,6182012919
2024,1,5202674651
2024,2,4769183077
2024,3,6015391276
2024,4,5668313959
2024,5,6157996081
2024,6,6249802180
2024,7,6537937711
2024,8,6395832683
2024,9,5730827272
2024,10,5501234288
2024,11,4804075698
2024,12,5112500641
2025,1,5005229931
2025,2,5200987463
2025,3,5669546574
2025,4,5237769238
2025,5,6404532380
2025,6,6454351009
2025,7,6368295912
2025,8,6627832996
2025,9,6184540107
2025,10,6049991190
2025,11,6292622509
2025,12,6198139393
