"ano","mes","tku"
2012,1,747652858
2012,2,1506912470
2012,3,1717057805
2012,4,1794876199
2012,5,1682741972
2012,6,1398061114
2012,7,1760961024
2012,8,1766934994
2012,9,1827983299
2012,10,1831029363
2012,11,1742854155
2012,12,1673867026
2013,1,1445039278
2013,2,1344560515
2013,3,1720857435
2013,4,1702836148
2013,5,1895230275
2013,6,1727602053
2013,7,1571916780
2013,8,1820421835
2013,9,1884847081
2013,10,2107586545
2013,11,1730633810
2013,12,1642537578
2014,1,942508768
2014,2,1698679325
2014,3,2109188971
2014,4,1938582274
2014,5,1985161956
2014,6,1772043478
2014,7,2041152727
2014,8,2041253163
2014,9,2209308846
2014,10,2300403035
2014,11,2025084235
2014,12,1885039289
2015,1,1219604121
2015,2,1489675569
2015,3,2112004082
2015,4,2197323421
2015,5,2262834679
2015,6,1920186740
2015,7,2384051599
2015,8,2508115419
2015,9,2509641174
2015,10,2684548303
2015,11,2529112171
2015,12,2292976080
2016,1,1905855936
2016,2,2026512054
2016,3,2569877206
2016,4,2674123641
2016,5,2166238934
2016,6,1409591376
2016,7,2373688399
2016,8,2391440791
2016,9,2216360151
2016,10,1080190427
2016,11,958712685
2016,12,1225043490
2017,1,1324569333
2017,2,2334142564
2017,3,2773098406
2017,4,2590734459
2017,5,2503622058
2017,6,2519957059
2017,7,2882609495
2017,8,3063547028
2017,9,2831065632
2017,10,3152960933
2017,11,2945679008
2017,12,2740718424
2018,1,1699531568
2018,2,2751135187
2018,3,3196772336
2018,4,3065885178
2018,5,2408100627
2018,6,2871974565
2018,7,3348255483
2018,8,3553847281
2018,9,3428318069
2018,10,2980641292
2018,11,3497217198
2018,12,3117529288
2019,1,2629388533
2019,2,2573933848
2019,3,3376834347
2019,4,2948207921
2019,5,2361629938
2019,6,3656174325
2019,7,4074480335
2019,8,3793902763
2019,9,3532721910
2019,10,3659284847
2019,11,3659450069
2019,12,2229561021
2020,1,2076743022
2020,2,3265204556
2020,3,2297310286
2020,4,3785046090
2020,5,3642266671
2020,6,3361431097
2020,7,3999478340
2020,8,3674738895
2020,9,3402240603
2020,10,3403377121
2020,11,3053385787
2020,12,3247695219
2021,1,1362538077
2021,2,3454630943
2021,3,3979749672
2021,4,3628525400
2021,5,3807433215
2021,6,3048703766
2021,7,3604051328
2021,8,2983958129
2021,9,2188621396
2021,10,2622124978
2021,11,3292195584
2021,12,3360931047
2022,1,3252755717
2022,2,3778571985
2022,3,3926433372
2022,4,3822767722
2022,5,3856725224
2022,6,3642885296
2022,7,3876266911
2022,8,3694853186
2022,9,3590236642
2022,10,3891179410
2022,11,3231892873
2022,12,3411113156
2023,1,2154728368
2023,2,3487675932
2023,3,3833332312
2023,4,3934861226
2023,5,3771819518
2023,6,3693781415
2023,7,3860161828
2023,8,3877616262
2023,9,4303162327
2023,10,4179335783
2023,11,4041314348
2023,12,3741041806
2024,1,2594181688
2024,2,3616421470
2024,3,3926444091
2024,4,3948593249
2024,5,4169392070
2024,6,4105715141
2024,7,3980974516
2024,8,4497296263
2024,9,4452960167
2024,10,4920643684
2024,11,4499822852
2024,12,3272348844
2025,1,1800721890
2025,2,3671976189
2025,3,4111966347
2025,4,4654240304
2025,5,4768669771
2025,6,4393394620
2025,7,4313263714
2025,8,4572767844
2025,9,4648635104
2025,10,4826740841
2025,11,4198518978
2025,12,4699659314
