"ano","mes","tku"
2012,1,160369043
2012,2,142692032
2012,3,161002263
2012,4,138036111
2012,5,155539334
2012,6,111821995
2012,7,124543090
2012,8,135212744
2012,9,141425458
2012,10,144869518
2012,11,140833986
2012,12,146605552
2013,1,115243736
2013,2,100387513
2013,3,114684471
2013,4,121860645
2013,5,141195516
2013,6,108756017
2013,7,116806102
2013,8,135237351
2013,9,123119682
2013,10,135343367
2013,11,149674055
2013,12,120279853
2014,1,131583918
2014,2,121803583
2014,3,133351468
2014,4,123885131
2014,5,121848544
2014,6,118694789
2014,7,144653843
2014,8,136705598
2014,9,138438443
2014,10,123364155
2014,11,116302576
2014,12,107237003
2015,1,94247629
2015,2,93978356
2015,3,101130801
2015,4,105387137
2015,5,115557782
2015,6,93670929
2015,7,78708361
2015,8,94515263
2015,9,73553456
2015,10,76484490
2015,11,69643936
2015,12,70023904
2016,1,47552077
2016,2,51960940
2016,3,64051594
2016,4,66406894
2016,5,75654469
2016,6,68278458
2016,7,84258585
2016,8,77923984
2016,9,70594973
2016,10,70880892
2016,11,68712279
2016,12,50753503
2017,1,39978460
2017,2,31950940
2017,3,69640726
2017,4,67396728
2017,5,80306004
2017,6,79306679
2017,7,81762680
2017,8,91275464
2017,9,84914007
2017,10,77948994
2017,11,76899538
2017,12,76322853
2018,1,80951096
2018,2,74214774
2018,3,65530419
2018,4,63396748
2018,5,52645921
2018,6,78082152
2018,7,80377584
2018,8,84345946
2018,9,75728854
2018,10,77439974
2018,11,71851775
2018,12,74859990
2019,1,72884527
2019,2,54551399
2019,3,59570476
2019,4,62412579
2019,5,65742864
2019,6,79512213
2019,7,83297885
2019,8,78589255
2019,9,71978926
2019,10,72493246
2019,11,65003766
2019,12,53472391
2020,1,64544574
2020,2,26650595
2020,3,17231342
2020,4,21105395
2020,5,10743232
2020,6,11182131
2020,7,46302107
2020,8,56626763
2020,9,67120084
2020,10,48576381
2020,11,54583672
2020,12,43841909
2021,1,52080674
2021,2,47855593
2021,3,60449571
2021,4,68165856
2021,5,71822128
2021,6,59925854
2021,7,53428672
2021,8,49335896
2021,9,29376071
2021,10,32562415
2021,11,30502000
2021,12,22401550
2022,1,16895419
2022,2,6433859
2022,3,17501748
2022,4,11124611
2022,5,12039488
2022,6,19415038
2022,7,19040257
2022,8,21066505
2022,9,18730624
2022,10,16081423
2022,11,16217634
2022,12,9713195
2023,1,13723483
2023,2,12143962
2023,3,15850960
2023,4,12162380
2023,5,15900993
2023,6,13773901
2023,7,12242676
2023,8,11602251
2023,9,11414260
2023,10,11258987
2023,11,8752776
2023,12,9775365
2024,1,10141030
2024,2,10429873
2024,3,10171332
2024,4,9365270
2024,5,10049707
2024,6,9459567
2024,7,10273809
2024,8,8732048
2024,9,990800
2024,10,0
2024,11,10118118
2024,12,11674380
2025,1,10230774
2025,2,10381213
2025,3,12013833
2025,4,10122255
2025,5,10651698
2025,6,11674380
2025,7,11236818
2025,8,11064024
2025,9,10006764
2025,10,6585879
2025,11,3309624
2025,12,338709
