"ano","mes","tku"
2012,1,312835910
2012,2,257174573
2012,3,225927299
2012,4,240794969
2012,5,397728225
2012,6,413149645
2012,7,416922657
2012,8,415477080
2012,9,386930284
2012,10,439769566
2012,11,341601260
2012,12,379953958
2013,1,281587534
2013,2,263664317
2013,3,272783436
2013,4,217933677
2013,5,310679354
2013,6,358545574
2013,7,412320103
2013,8,429844726
2013,9,364013142
2013,10,366390116
2013,11,294463659
2013,12,338287883
2014,1,390954114
2014,2,270993890
2014,3,325767022
2014,4,272161010
2014,5,343001440
2014,6,349399866
2014,7,391858014
2014,8,362017168
2014,9,313609740
2014,10,297054731
2014,11,267870146
2014,12,321014870
2015,1,321594174
2015,2,231025384
2015,3,264962421
2015,4,219485137
2015,5,330856432
2015,6,323117746
2015,7,310671475
2015,8,344576538
2015,9,334707810
2015,10,356370869
2015,11,323361949
2015,12,306384892
2016,1,245775744
2016,2,258293333
2016,3,252514736
2016,4,230850936
2016,5,386793550
2016,6,525784850
2016,7,374681418
2016,8,403244311
2016,9,429482517
2016,10,580016038
2016,11,486970314
2016,12,381151521
2017,1,358906157
2017,2,243872126
2017,3,221286951
2017,4,243689062
2017,5,433225220
2017,6,334410403
2017,7,255676020
2017,8,273014429
2017,9,268145422
2017,10,280905196
2017,11,244544057
2017,12,286312009
2018,1,383185016
2018,2,299101333
2018,3,266328944
2018,4,218039167
2018,5,444694919
2018,6,488803877
2018,7,510728983
2018,8,478870402
2018,9,423152864
2018,10,493680384
2018,11,448894329
2018,12,524255497
2019,1,489957868
2019,2,330157565
2019,3,424319601
2019,4,512786907
2019,5,639681937
2019,6,563796365
2019,7,621031760
2019,8,530191489
2019,9,404062356
2019,10,498469372
2019,11,495672145
2019,12,772980386
2020,1,606542384
2020,2,530251354
2020,3,340112532
2020,4,546813737
2020,5,727774509
2020,6,670854970
2020,7,687312729
2020,8,686987342
2020,9,821852778
2020,10,998611295
2020,11,945667568
2020,12,851552267
2021,1,822198159
2021,2,555884704
2021,3,452225227
2021,4,533061504
2021,5,718387843
2021,6,729055218
2021,7,856055367
2021,8,929625965
2021,9,875643413
2021,10,879516715
2021,11,756213689
2021,12,670324047
2022,1,601199491
2022,2,599276820
2022,3,613707217
2022,4,383815652
2022,5,762788604
2022,6,824921037
2022,7,782314144
2022,8,730962292
2022,9,562963147
2022,10,696027679
2022,11,766163794
2022,12,509677024
2023,1,571370652
2023,2,557706432
2023,3,435133669
2023,4,672293104
2023,5,667856244
2023,6,691227739
2023,7,653987082
2023,8,748178578
2023,9,710885513
2023,10,662712252
2023,11,718768719
2023,12,773155723
2024,1,745571571
2024,2,599814073
2024,3,446489274
2024,4,408223070
2024,5,755762340
2024,6,772603220
2024,7,615580581
2024,8,727778757
2024,9,772707718
2024,10,1360177439
2024,11,1306541054
2024,12,1254175119
2025,1,783591340
2025,2,1165572899
2025,3,1464601523
2025,4,966917519
2025,5,1357531969
2025,6,1675985538
2025,7,1491156851
2025,8,1972171430
2025,9,1717198348
2025,10,1825857361
2025,11,1894858087
2025,12,1767853477
