"ano","mes","tku"
2012,1,1067090083
2012,2,1091355795
2012,3,1347872728
2012,4,1270010562
2012,5,1457626323
2012,6,1337453147
2012,7,1486585276
2012,8,1578290864
2012,9,1468072567
2012,10,1493675048
2012,11,1474236392
2012,12,1224945074
2013,1,1258340662
2013,2,1154496618
2013,3,1273687477
2013,4,1302778772
2013,5,1405784038
2013,6,1301095655
2013,7,1319397296
2013,8,1521744552
2013,9,1406576227
2013,10,1434917458
2013,11,1268093796
2013,12,1142369553
2014,1,1014634862
2014,2,1058249870
2014,3,1273097450
2014,4,1180959866
2014,5,1283463410
2014,6,1150212765
2014,7,1335868886
2014,8,1315560747
2014,9,1363969153
2014,10,1305809383
2014,11,1272257801
2014,12,1138271324
2015,1,973610441
2015,2,955375840
2015,3,1198348507
2015,4,1164022349
2015,5,1235787670
2015,6,1287656979
2015,7,1189602282
2015,8,1383442433
2015,9,1270622904
2015,10,1253754636
2015,11,1128307720
2015,12,1017550706
2016,1,735242184
2016,2,861006844
2016,3,1036132041
2016,4,1036012610
2016,5,1068496128
2016,6,1092728260
2016,7,1151112891
2016,8,1212362262
2016,9,1082918101
2016,10,928530315
2016,11,817567141
2016,12,809291671
2017,1,664217638
2017,2,831219222
2017,3,1079716964
2017,4,1065973655
2017,5,1203577552
2017,6,1158539252
2017,7,1352823948
2017,8,1391223298
2017,9,1386463476
2017,10,1272102767
2017,11,1119561362
2017,12,1030360764
2018,1,832311255
2018,2,917539619
2018,3,1186938587
2018,4,1217529508
2018,5,1230694322
2018,6,1305396984
2018,7,1348188940
2018,8,1419907421
2018,9,1341224691
2018,10,1314866304
2018,11,1187261219
2018,12,1056531728
2019,1,896922985
2019,2,1095174703
2019,3,1200361653
2019,4,1028148062
2019,5,1073261100
2019,6,1199846957
2019,7,1406991195
2019,8,1418936184
2019,9,1309667382
2019,10,1364805782
2019,11,1262836319
2019,12,867611073
2020,1,678492638
2020,2,848752521
2020,3,1023514386
2020,4,1187722756
2020,5,1394938980
2020,6,1271153594
2020,7,1350156371
2020,8,1379357031
2020,9,1312479184
2020,10,1298551009
2020,11,1271568076
2020,12,945746383
2021,1,619066364
2021,2,690805250
2021,3,1317494150
2021,4,1316996284
2021,5,1410896669
2021,6,1293016636
2021,7,1342135239
2021,8,1162068830
2021,9,1210492530
2021,10,1123291221
2021,11,1038324677
2021,12,1051551855
2022,1,855363145
2022,2,950017000
2022,3,1182268910
2022,4,883949481
2022,5,914839428
2022,6,1091585196
2022,7,1286225171
2022,8,1285243926
2022,9,1266211588
2022,10,1238795072
2022,11,1188576386
2022,12,953067926
2023,1,915798874
2023,2,904637498
2023,3,1117476038
2023,4,1173036179
2023,5,1224347681
2023,6,1220644605
2023,7,1281099856
2023,8,1281404442
2023,9,1260415664
2023,10,1185034664
2023,11,1082658216
2023,12,996803934
2024,1,1057955087
2024,2,1076702448
2024,3,1201881194
2024,4,1202711737
2024,5,1102412831
2024,6,1143331816
2024,7,1159377250
2024,8,1137066905
2024,9,1098002177
2024,10,1012242654
2024,11,943751152
2024,12,842825038
2025,1,728502480
2025,2,686742492
2025,3,926109331
2025,4,844510255
2025,5,1090879459
2025,6,1181433969
2025,7,1277434580
2025,8,1321150420
2025,9,1307180322
2025,10,1264848755
2025,11,1252439196
2025,12,984301473
