"DMU","Ano","Locos","Vagoes","NTF","TKU","CCL"
"EFC",2006,150.083333,8916.333333,11411,76724434524,164129839.455171
"EFC",2007,175.75,9727.666666,11616,83367017838,180381204.462501
"EFC",2008,197.583333,10897.083333,14340,87515926944,186052894.008115
"EFC",2009,211.333333,11972.5,14530,83948304230,163614817.642298
"EFC",2010,218.333333,11841.416666,15628,91051651064,184847679.051177
"EFC",2011,210.25,13375.666666,18758,99566943519,199041693.956225
"EFC",2012,239.416666,14521.75,18236,102157360107,208915219.904441
"EFC",2013,249.333333,14909.083333,17791,101010500150,211350865.68612
"EFC",2014,253.333333,15666.916666,17922,104177266706,214663334.424162
"EFC",2015,283.833333,18682.25,19048,118583600192,247794189.004348
"EFC",2016,300,18976.333333,13613,136268213635,278435763.446012
"EFC",2017,315.416666,19008.166666,11915,155537535773,305063460.584544
"EFC",2018,314.583333,20314.25,14154,184375642877,351618623.585996
"EFC",2019,316.5,20796,13375,174485955732,325392073.95193
"EFC",2020,321.5,21612.916666,13770,177376810365,318010259.025487
"EFC",2021,328.666666,21695.833333,13502,172084973708,306092999.665435
"EFC",2022,328.25,21661.333333,12810,157201306229,280921617.632162
"EFC",2023,330.583333,21743.333333,24786,157563522537,281008464.99226
"EFC",2024,318.916666,21668.916666,21359,163701064152,281430144.508755
"EFC",2025,314.916666,21743.166666,12904,161162439921,270512403.356223
"EFVM",2006,312.583333,12318.083333,49389,73439941155,225556089.326194
"EFVM",2007,318.333333,20040.916666,58293,75508482772,224021641.789224
"EFVM",2008,320.75,20079.75,55657,72779862762,212387689.013197
"EFVM",2009,319.666666,19075.666666,43182,57927693244,258575599.393785
"EFVM",2010,311.083333,18928.5,53031,73480557535,210353005.28502
"EFVM",2011,329.583333,19531.25,55392,74830478975,212609319.002014
"EFVM",2012,315.25,19223,54038,72866080644,203746720.372686
"EFVM",2013,311.416666,19758.083333,53905,72009164388,199862811.78722
"EFVM",2014,313.583333,19281.75,54942,72669594787,199198057.238087
