"date","ipca_mensal_pct","indice"
2008-01-01,0.54,100
2008-02-01,0.49,100.49
2008-03-01,0.48,100.9724
2008-04-01,0.55,101.5277
2008-05-01,0.79,102.3298
2008-06-01,0.74,103.087
2008-07-01,0.53,103.6334
2008-08-01,0.28,103.9235
2008-09-01,0.26,104.1937
2008-10-01,0.45,104.6626
2008-11-01,0.36,105.0394
2008-12-01,0.28,105.3335
2009-01-01,0.48,105.8391
2009-02-01,0.55,106.4212
2009-03-01,0.2,106.6341
2009-04-01,0.48,107.1459
2009-05-01,0.47,107.6495
2009-06-01,0.36,108.037
2009-07-01,0.24,108.2963
2009-08-01,0.15,108.4588
2009-09-01,0.24,108.7191
2009-10-01,0.28,109.0235
2009-11-01,0.41,109.4705
2009-12-01,0.37,109.8755
2010-01-01,0.75,110.6996
2010-02-01,0.78,111.563
2010-03-01,0.52,112.1432
2010-04-01,0.57,112.7824
2010-05-01,0.43,113.2674
2010-06-01,0,113.2674
2010-07-01,0.01,113.2787
2010-08-01,0.04,113.324
2010-09-01,0.45,113.834
2010-10-01,0.75,114.6877
2010-11-01,0.83,115.6396
2010-12-01,0.63,116.3681
2011-01-01,0.83,117.334
2011-02-01,0.8,118.2727
2011-03-01,0.79,119.207
2011-04-01,0.77,120.1249
2011-05-01,0.47,120.6895
2011-06-01,0.15,120.8705
2011-07-01,0.16,121.0639
2011-08-01,0.37,121.5119
2011-09-01,0.53,122.1559
2011-10-01,0.43,122.6812
2011-11-01,0.52,123.3191
2011-12-01,0.5,123.9357
2012-01-01,0.56,124.6297
2012-02-01,0.45,125.1906
2012-03-01,0.21,125.4535
2012-04-01,0.64,126.2564
2012-05-01,0.36,126.7109
2012-06-01,0.08,126.8123
2012-07-01,0.43,127.3576
2012-08-01,0.41,127.8797
2012-09-01,0.57,128.6086
2012-10-01,0.59,129.3674
2012-11-01,0.6,130.1436
2012-12-01,0.79,131.1718
2013-01-01,0.86,132.2998
2013-02-01,0.6,133.0936
2013-03-01,0.47,133.7192
2013-04-01,0.55,134.4546
2013-05-01,0.37,134.9521
2013-06-01,0.26,135.303
2013-07-01,0.03,135.3436
2013-08-01,0.24,135.6684
2013-09-01,0.35,136.1432
2013-10-01,0.57,136.9193
2013-11-01,0.54,137.6586
2013-12-01,0.92,138.9251
2014-01-01,0.55,139.6892
2014-02-01,0.69,140.653
2014-03-01,0.92,141.947
2014-04-01,0.67,142.8981
2014-05-01,0.46,143.5554
2014-06-01,0.4,144.1296
2014-07-01,0.01,144.144
2014-08-01,0.25,144.5044
2014-09-01,0.57,145.3281
2014-10-01,0.42,145.9385
2014-11-01,0.51,146.6827
2014-12-01,0.78,147.8269
2015-01-01,1.24,149.6599
2015-02-01,1.22,151.4858
2015-03-01,1.32,153.4854
2015-04-01,0.71,154.5751
