"ano","tku","tku_milhoes","receita_bruta","indice_medio","receita_real"
2008,55821880167,55821.880167,3401189,102.9328,3401189
2009,51444108646,51444.108646,2603037,107.9642,2481729.00751916
2010,57572346308,57572.346308,2485335,113.4046,2255838.74453065
2011,61360642317,61360.642317,3123465,120.9305,2658609.68202397
2012,62241499163,62241.499163,3266716,127.4652,2637992.36720925
2013,61427409311,61427.409311,3323258,135.3734,2526879.36524014
2014,64433533846,64433.533846,3380835,143.9414,2417642.26892333
2015,64754142045,64754.142045,3502606,156.9395,2297274.06342444
2016,65645671278,65645.671278,3635715,170.6554,2192924.01501505
2017,63909017271,63909.017271,3870294,176.5367,2256642.37658912
2018,63764601243,63764.601243,4083553,183.0062,2296815.86874324
2019,48109436468,48109.436468,3483747,189.8379,1888936.99941687
2020,52613706504,52613.706504,3890220,195.9347,2043697.40130768
2021,56961004683,56961.004683,4788858,212.2003,2322949.41497444
2022,58283425929,58283.425929,6029362,231.8924,2676323.64352432
2023,66808265193,66808.265193,6872969,242.5444,2916801.80405402
2024,68145769517,68145.769517,7484648,253.1373,3043469.98903125
